season,week,celebrity_name,ballroom_partner,J,f,j_share,combined_approx,is_eliminated_this_week
27,1,Alexis Ren,Alan Bersten,22.0,0.0,0.08627450980392157,0.08627450980392157,False
27,1,Bobby Bones,Sharna Burgess,20.0,0.0,0.0784313725490196,0.0784313725490196,False
27,1,Danelle Umstead,Artem Chigvintsev,18.0,0.0,0.07058823529411765,0.07058823529411765,False
27,1,DeMarcus Ware,Lindsay Arnold,23.0,0.0,0.09019607843137255,0.09019607843137255,False
27,1,Evanna Lynch,Keo Motsepe,18.0,0.0,0.07058823529411765,0.07058823529411765,False
27,1,Joe Amabile,Jenna Johnson,14.0,0.0,0.054901960784313725,0.054901960784313725,False
27,1,John Schneider,Emma Slater,18.0,0.0,0.07058823529411765,0.07058823529411765,False
27,1,Juan Pablo Di Pace,Cheryl Burke,22.0,0.0,0.08627450980392157,0.08627450980392157,False
27,1,Mary Lou Retton,Sasha Farber,20.0,0.0,0.0784313725490196,0.0784313725490196,False
27,1,Milo Manheim,Witney Carson,20.0,1.0,0.0784313725490196,1.0784313725490196,False
27,1,Nancy McKeon,Valentin Chmerkovskiy,19.5,0.0,0.07647058823529412,0.07647058823529412,False
27,1,Nikki Glaser,Gleb Savchenko,17.5,0.0,0.06862745098039216,0.06862745098039216,True
27,1,Tinashe,Brandon Armstrong,23.0,0.0,0.09019607843137255,0.09019607843137255,False
27,2,Alexis Ren,Alan Bersten,24.5,0.0,0.09057301293900184,0.09057301293900184,False
27,2,Bobby Bones,Sharna Burgess,19.5,0.0,0.07208872458410351,0.07208872458410351,False
27,2,Danelle Umstead,Artem Chigvintsev,18.5,0.0,0.06839186691312385,0.06839186691312385,True
27,2,DeMarcus Ware,Lindsay Arnold,23.5,0.0,0.08687615526802218,0.08687615526802218,False
27,2,Evanna Lynch,Keo Motsepe,24.0,0.0,0.08872458410351201,0.08872458410351201,False
27,2,Joe Amabile,Jenna Johnson,17.5,0.0,0.06469500924214418,0.06469500924214418,False
27,2,John Schneider,Emma Slater,21.5,0.0,0.07948243992606285,0.07948243992606285,False
