season,week,celebrity_name,ballroom_partner,f_mean,f_lower,f_upper,f_median,n_bootstrap
1,1,Evander Holyfield,Edyta Sliwinska,0.03956998258181122,0.03956998258181122,0.03956998258181122,0.03956998258181122,1
1,1,Joey McIntyre,Ashly DelGrosso,0.26046925822923117,0.26046925822923117,0.26046925822923117,0.26046925822923117,1
1,1,John O'Hurley,Charlotte Jorgensen,0.012537713917492078,0.012537713917492078,0.012537713917492078,0.012537713917492078,1
1,1,Kelly Monaco,Alec Mazo,0.3102181902975398,0.3102181902975398,0.3102181902975398,0.3102181902975398,1
1,1,Rachel Hunter,Jonathan Roberts,0.15527498834679385,0.15527498834679385,0.15527498834679385,0.15527498834679385,1
1,1,Trista Sutter,Louis van Amstel,0.22192986662713196,0.22192986662713196,0.22192986662713196,0.22192986662713196,1
1,2,Evander Holyfield,Edyta Sliwinska,0.025732207397369526,0.025732207397369526,0.025732207397369526,0.025732207397369526,1
1,2,Joey McIntyre,Ashly DelGrosso,0.33901481419376844,0.33901481419376844,0.33901481419376844,0.33901481419376844,1
1,2,John O'Hurley,Charlotte Jorgensen,0.01981456401439173,0.01981456401439173,0.01981456401439173,0.01981456401439173,1
1,2,Kelly Monaco,Alec Mazo,0.21313651079964693,0.21313651079964693,0.21313651079964693,0.21313651079964693,1
1,2,Rachel Hunter,Jonathan Roberts,0.2270628504408049,0.2270628504408049,0.2270628504408049,0.2270628504408049,1
1,2,Trista Sutter,Louis van Amstel,0.1752390531540184,0.1752390531540184,0.1752390531540184,0.1752390531540184,1
1,3,Evander Holyfield,Edyta Sliwinska,0.02096976994431482,0.02096976994431482,0.02096976994431482,0.02096976994431482,1
1,3,Joey McIntyre,Ashly DelGrosso,0.3124546048031686,0.3124546048031686,0.3124546048031686,0.3124546048031686,1
1,3,John O'Hurley,Charlotte Jorgensen,0.026206189917615683,0.026206189917615683,0.026206189917615683,0.026206189917615683,1
1,3,Kelly Monaco,Alec Mazo,0.3558295153660231,0.3558295153660231,0.3558295153660231,0.3558295153660231,1
1,3,Rachel Hunter,Jonathan Roberts,0.28453991996887784,0.28453991996887784,0.28453991996887784,0.28453991996887784,1
1,4,Joey McIntyre,Ashly DelGrosso,0.23904710725006564,0.23904710725006564,0.23904710725006564,0.23904710725006564,1
1,4,John O'Hurley,Charlotte Jorgensen,0.014745910063599207,0.014745910063599207,0.014745910063599207,0.014745910063599207,1
1,4,Kelly Monaco,Alec Mazo,0.46723154116858806,0.46723154116858806,0.46723154116858806,0.46723154116858806,1
1,4,Rachel Hunter,Jonathan Roberts,0.2789754415177471,0.2789754415177471,0.2789754415177471,0.2789754415177471,1
